name;lat;lon;magnitude
name269;12.578947368421055;14.628947368421052;40.0
name270;12.578947368421055;18.921052631578945;40.0
name271;12.578947368421055;23.213157894736845;30.0
name272;12.578947368421055;27.50526315789474;10.0
name273;12.578947368421055;31.79736842105263;20.0
name274;12.578947368421055;36.08947368421053;30.0
name275;12.578947368421055;40.381578947368425;20.0
name276;12.578947368421055;44.67368421052632;30.0
name277;12.578947368421055;48.96578947368421;30.0
name278;12.578947368421055;53.257894736842104;10.0
name279;12.578947368421055;57.55;10.0
name280;15.815789473684212;-24.0;10.0
name281;15.815789473684212;-19.707894736842107;10.0
name282;15.815789473684212;-15.41578947368421;10.0
name283;15.815789473684212;-11.123684210526315;10.0
name284;15.815789473684212;-6.8315789473684205;10.0
name285;15.815789473684212;-2.5394736842105274;10.0
name286;15.815789473684212;1.7526315789473692;10.0
name287;15.815789473684212;6.044736842105266;10.0
name288;15.815789473684212;10.336842105263159;10.0
name289;15.815789473684212;14.628947368421052;40.0
name290;15.815789473684212;18.921052631578945;40.0
name291;15.815789473684212;23.213157894736845;30.0
name292;15.815789473684212;27.50526315789474;10.0
name293;15.815789473684212;31.79736842105263;20.0
name294;15.815789473684212;36.08947368421053;30.0
name295;15.815789473684212;40.381578947368425;20.0
name296;15.815789473684212;44.67368421052632;30.0
name297;15.815789473684212;48.96578947368421;30.0
name298;15.815789473684212;53.257894736842104;10.0
name299;15.815789473684212;57.55;10.0
name300;19.05263157894737;-24.0;10.0
name301;19.05263157894737;-19.707894736842107;10.0
name302;19.05263157894737;-15.41578947368421;10.0
name303;19.05263157894737;-11.123684210526315;10.0
name304;19.05263157894737;-6.8315789473684205;10.0
name305;19.05263157894737;-2.5394736842105274;10.0
name306;19.05263157894737;1.7526315789473692;10.0
name307;19.05263157894737;6.044736842105266;10.0
name308;19.05263157894737;10.336842105263159;10.0
name309;19.05263157894737;14.628947368421052;40.0
name310;19.05263157894737;18.921052631578945;40.0
name311;19.05263157894737;23.213157894736845;30.0
name312;19.05263157894737;27.50526315789474;10.0
name313;19.05263157894737;31.79736842105263;20.0
name314;19.05263157894737;36.08947368421053;30.0
name315;19.05263157894737;40.381578947368425;20.0
name316;19.05263157894737;44.67368421052632;30.0
name317;19.05263157894737;48.96578947368421;30.0
name318;19.05263157894737;53.257894736842104;10.0
name319;19.05263157894737;57.55;10.0
name320;22.289473684210527;-24.0;0.0
name321;22.289473684210527;-19.707894736842107;0.0
name322;22.289473684210527;-15.41578947368421;0.0
name323;22.289473684210527;-11.123684210526315;0.0
name324;22.289473684210527;-6.8315789473684205;0.0
name325;22.289473684210527;-2.5394736842105274;0.0
name326;22.289473684210527;1.7526315789473692;0.0
name327;22.289473684210527;6.044736842105266;0.0
name328;22.289473684210527;10.336842105263159;0.0
name329;22.289473684210527;14.628947368421052;0.0
name330;22.289473684210527;18.921052631578945;0.0
name331;22.289473684210527;23.213157894736845;0.0
name332;22.289473684210527;27.50526315789474;0.0
name333;22.289473684210527;31.79736842105263;0.0
name334;22.289473684210527;36.08947368421053;0.0
name335;22.289473684210527;40.381578947368425;0.0
name336;22.289473684210527;44.67368421052632;0.0
name337;22.289473684210527;48.96578947368421;0.0
name338;22.289473684210527;53.257894736842104;0.0
name339;22.289473684210527;57.55;0.0
